caseid,centre,bvisaL_cluster_connected_triangles,bvisaL_triangl_per_clust,bvisaL_srf_are_per_clust,bvisaL_total_srf_area,bvisaL_is_self_intersecting,bvisaL_is_watertight,bvisaL_is_edge_manifold,bvisaL_is_vertex_manifold,bvisaL_total_volume,bvisaL_holes_filled_volume,bvisaR_cluster_connected_triangles,bvisaR_triangl_per_clust,bvisaR_srf_are_per_clust,bvisaR_total_srf_area,bvisaR_is_self_intersecting,bvisaR_is_watertight,bvisaR_is_edge_manifold,bvisaR_is_vertex_manifold,bvisaR_total_volume,bvisaR_holes_filled_volume,LCS_lebel2inters,RCS_lebel2inters
sub-via201,CFIN,5528,[5528],[4230.93334785],4230.933347847872,False,True,True,True,1508.2788842853042,1508.2788842853024,5382,[5382],[4144.71792777],4144.717927765234,False,True,True,True,1520.4111137874334,1520.4111137874322,"{3: 640, 24: 1537, 165: 23}","{24: 1516, 42: 696, 77: 2}"
sub-via207,CFIN,6310,[6310],[4670.39838633],4670.398386330134,False,True,True,True,1689.2447820876941,1689.244782087686,6394,[6394],[4748.25549352],4748.255493521396,False,True,True,True,1749.8469145369068,1749.8469145369058,"{2: 16, 3: 1087, 24: 1198, 165: 184}","{24: 1431, 42: 934, 165: 261}"
sub-via219,CFIN,3986,[3986],[3070.20155361],3070.2015536096997,False,True,True,True,1096.4130818522563,1096.4130818522535,3732,[3732],[2894.4521697],2894.4521697000537,False,True,True,True,1062.0568555431196,1062.0568555431228,"{3: 511, 24: 1008, 165: 96, 258: 2}","{24: 1042, 42: 391, 165: 131}"
sub-via304,CFIN,4014,[4014],[3013.53248614],3013.532486139763,False,True,True,True,1102.7175415871961,1102.7175415871911,4186,[4186],[3113.11305122],3113.113051216571,False,True,True,True,1148.1853767025168,1148.185376702516,"{3: 611, 24: 955, 165: 56, 258: 2}","{24: 1071, 42: 571, 165: 35, 258: 2}"
sub-via273,CFIN,3770,[3770],[2822.65336218],2822.653362176503,True,False,True,True,-1.0,-1.0,4046,[4046],[3043.20812918],3043.2081291773234,False,True,True,True,1098.9224799269764,1098.922479926976,"{2: 3, 3: 800, 24: 694, 165: 28}","{24: 858, 42: 705, 165: 57}"
sub-via372,CFIN,4528,[4528],[3388.43095005],3388.430950046992,False,True,True,True,1234.868394772142,1234.8683947721447,5182,[5182],[3842.35446217],3842.354462172639,False,True,True,True,1383.61534141882,1383.615341418818,"{3: 626, 24: 1191, 165: 7}","{24: 1117, 41: 1, 42: 939, 165: 8}"
sub-via433,CFIN,4084,[4084],[3009.55138307],3009.551383074975,False,True,True,True,1082.7417925138416,1082.7417925138443,3498,[3498],[2598.58491195],2598.584911954751,False,True,True,True,919.4452112556273,919.445211255625,"{3: 479, 24: 1099, 165: 32}","{24: 1038, 42: 349, 165: 73}"
sub-via457,CFIN,5108,[5108],[3899.4714847],3899.471484696352,False,True,True,True,1407.4718684748568,1407.471868474856,5054,[5054],[3856.57324881],3856.5732488131225,False,True,True,True,1444.236108417926,1444.2361084179347,"{3: 492, 24: 1442, 165: 122}","{24: 1420, 42: 506, 165: 164, 258: 1}"
sub-via506,CFIN,3746,[3746],[2780.12434205],2780.124342045112,False,True,True,True,1046.1071829550945,1046.1071829550942,4298,[4298],[3158.75345671],3158.7534567121397,False,True,True,True,1170.7300733621232,1170.7300733621264,"{3: 756, 24: 763, 165: 24}","{24: 1155, 42: 549, 165: 47}"
sub-via513,CFIN,5126,[5126],[3798.74666626],3798.7466662606976,False,True,True,True,1409.1562468812062,1409.1562468812044,5408,[5408],[4072.09778088],4072.0977808804846,False,True,True,True,1499.072699962655,1499.072699962656,"{3: 756, 24: 1215, 165: 74}","{24: 1188, 42: 905, 165: 92}"
sub-via171,CFIN,4226,[4226],[3188.37558815],3188.3755881526204,False,True,True,True,1146.5757862115352,1146.5757862115352,4312,[4312],[3237.1707802],3237.1707802032156,False,True,True,True,1187.198419278734,1187.1984192787377,"{3: 283, 24: 1358, 165: 37}","{24: 1405, 42: 285, 165: 47}"
sub-via205,CFIN,4616,[4616],[3390.51113611],3390.511136111261,False,True,True,True,1231.1074014644237,1231.1074014644191,4768,[4768],[3526.20186863],3526.2018686301785,False,True,True,True,1312.4531314071537,1312.4531314071514,"{3: 478, 24: 1333, 165: 16}","{24: 1510, 42: 401, 165: 14}"
sub-via118,CFIN,5178,[5178],[3909.18659354],3909.186593537506,False,True,True,True,1439.9841683939321,1439.984168393938,5170,[5170],[3855.18844575],3855.188445751553,False,True,True,True,1410.1980426851514,1410.1980426851496,"{3: 738, 24: 1353, 165: 11, 258: 2}","{24: 1392, 42: 615, 165: 41}"
sub-via152,CFIN,4904,[4904],[3623.84913676],3623.84913675598,False,True,True,True,1313.8045785793638,1313.804578579363,4754,[4754],[3630.91975685],3630.9197568468653,False,True,True,True,1339.3651099859462,1339.3651099859476,"{3: 556, 24: 1406, 165: 5}","{24: 1478, 42: 433, 165: 44}"
sub-via259,CFIN,4718,[4718],[3569.67371767],3569.6737176681395,False,True,True,True,1306.88047675715,1306.88047675715,5156,[5156],[3836.89326447],3836.893264473655,False,True,True,True,1375.1290167256143,1375.1290167256125,"{3: 792, 24: 1073, 165: 56, 258: 2}","{24: 1355, 42: 600, 165: 70, 258: 2}"
sub-via300,CFIN,4562,[4562],[3388.20540302],3388.205403016164,False,True,True,True,1239.892445022614,1239.892445022616,3996,[3996],[3065.75062834],3065.750628343361,False,True,True,True,1140.533125458834,1140.53312545884,"{3: 643, 24: 1169, 165: 4}","{24: 1221, 42: 436, 165: 7}"
sub-via331,CFIN,2930,[2930],[2142.21316981],2142.2131698128046,False,True,True,True,766.6454679785948,766.6454679785984,3944,[3944],[2885.35550143],2885.3555014296926,False,True,True,True,1061.5171781013332,1061.5171781013355,"{3: 326, 24: 755, 165: 44}","{24: 1133, 42: 353, 165: 89, 258: 6}"
sub-via364,CFIN,4724,[4724],[3569.23833732],3569.238337316281,False,True,True,True,1303.9261707124115,1303.9261707124142,4566,[4566],[3396.65415688],3396.6541568826588,False,True,True,True,1234.4274800642797,1234.4274800642797,"{3: 451, 24: 1448, 165: 2}","{24: 1472, 42: 318, 165: 3}"
sub-via429,CFIN,3660,[3660],[2797.63025978],2797.6302597844033,False,True,True,True,1017.9566107027276,1017.9566107027285,3662,[3662],[2832.52352051],2832.5235205087756,False,True,True,True,1042.987793319733,1042.9877933197292,"{3: 248, 24: 1251, 165: 4}","{24: 1279, 42: 234, 165: 9}"
sub-via494,CFIN,4442,[4442],[3313.95112372],3313.951123720027,False,True,True,True,1197.0689707078482,1197.0689707078445,2210,[2210],[1582.91753637],1582.9175363738857,False,True,True,True,593.2657581387975,593.2657581387969,"{3: 429, 24: 1232, 165: 70, 258: 7}","{24: 764, 42: 135, 165: 4}"
sub-via511,CFIN,3794,[3794],[2735.09093353],2735.090933534641,True,False,True,True,-1.0,-1.0,3466,[3466],[2633.98424811],2633.984248108116,False,True,True,True,970.6233568866346,970.6233568866319,"{2: 1, 3: 553, 24: 801, 165: 131, 258: 1}","{24: 1070, 42: 348, 165: 31, 258: 2}"
sub-via238,CFIN,4578,[4578],[3467.325066],3467.3250660000404,False,True,True,True,1261.0697122701313,1261.0697122701204,5052,[5052],[3790.20609816],3790.2060981649474,False,True,True,True,1368.117269794434,1368.117269794436,"{2: 19, 3: 742, 24: 1089, 165: 16}","{24: 1240, 41: 1, 42: 657, 165: 118, 258: 1}"
sub-via293,CFIN,4648,[4648],[3421.15202772],3421.1520277172444,False,True,True,True,1253.5563152985924,1253.5563152985924,4084,[4084],[3022.83825671],3022.838256705047,False,True,True,True,1105.6875788380055,1105.6875788380014,"{3: 728, 24: 960, 165: 97, 258: 60}","{24: 734, 42: 870, 77: 3, 165: 54}"
sub-via320,CFIN,4764,[4764],[3503.59420201],3503.594202009698,False,True,True,True,1288.7168501020988,1288.7168501021033,5082,[5082],[3790.68329165],3790.6832916506114,False,True,True,True,1407.2781828058796,1407.278182805876,"{3: 769, 24: 1082, 165: 11}","{24: 1234, 42: 682, 165: 122, 258: 5}"
sub-via355,CFIN,4390,[4390],[3264.36461046],3264.364610463792,False,True,True,True,1203.963894986834,1203.9638949868372,4396,[4396],[3324.27631722],3324.276317217621,False,True,True,True,1193.5216321446733,1193.5216321446726,"{3: 279, 24: 1336, 165: 142, 258: 9}","{24: 1375, 42: 265, 165: 109}"
sub-via391,CFIN,5500,[5500],[4153.56233577],4153.562335767056,False,True,True,True,1479.0724639483387,1479.0724639483342,4574,[4574],[3464.87785593],3464.8778559330417,False,True,True,True,1233.4860338650724,1233.4860338650801,"{2: 8, 3: 633, 24: 1462, 165: 82}","{24: 1247, 41: 2, 42: 544, 165: 22}"
sub-via444,CFIN,4994,[4994],[3763.21775329],3763.217753292598,False,True,True,True,1377.5284034311726,1377.5284034311774,4738,[4738],[3605.00508881],3605.0050888136293,False,True,True,True,1340.7324668487645,1340.73246684876,"{2: 6, 3: 934, 24: 966, 165: 111, 258: 1}","{24: 988, 42: 880, 165: 91}"
sub-via485,CFIN,5456,[5456],[3989.18363383],3989.1836338328244,False,True,True,True,1445.1455246638689,1445.1455246638816,5400,[5400],[4014.21118315],4014.2111831531092,False,True,True,True,1450.99050789599,1450.9905078959896,"{2: 5, 3: 850, 24: 1121, 165: 164, 258: 1}","{24: 1168, 42: 757, 165: 204, 258: 2}"
sub-via050,CFIN,5454,[5454],[4092.97859791],4092.9785979132007,False,True,True,True,1465.2268387686354,1465.226838768629,5348,[5348],[3961.73056751],3961.730567506747,False,True,True,True,1428.5547949253191,1428.5547949253228,"{3: 639, 24: 1486, 165: 31}","{24: 1544, 42: 526, 165: 23}"
sub-via017,CFIN,4870,[4870],[3647.77302994],3647.773029943316,False,True,True,True,1299.5903088106334,1299.5903088106343,3346,[3346],[2463.67836961],2463.678369612289,False,True,True,True,878.7674751310201,878.7674751310187,"{3: 653, 24: 1197, 165: 60}","{24: 838, 42: 400, 165: 56}"
sub-via010,CFIN,4912,[4912],[3705.69425573],3705.694255734241,False,True,True,True,1368.12086356099,1368.1208635609855,5052,[5052],[3788.73301587],3788.733015867663,False,True,True,True,1365.3548989289502,1365.354898928953,"{3: 546, 24: 1447, 165: 15}","{24: 1261, 41: 2, 42: 661, 77: 3, 165: 67, 258: 11}"
sub-via051,CFIN,4186,[4186],[3096.74286067],3096.7428606682975,False,True,True,True,1119.4445724121233,1119.4445724121179,3702,[3702],[2820.54026741],2820.540267405869,False,True,True,True,1013.1074257112627,1013.1074257112632,"{2: 6, 3: 428, 24: 1040, 165: 179, 258: 5}","{24: 1067, 42: 261, 165: 155, 258: 4}"
sub-via019,CFIN,4682,[4682],[3448.57674573],3448.576745725761,False,True,True,True,1271.754367578108,1271.7543675781053,4460,[4460],[3381.8749576],3381.8749575999705,False,True,True,True,1255.8965091106447,1255.8965091106465,"{3: 608, 24: 1136, 165: 116, 258: 3}","{24: 1203, 42: 489, 165: 125, 258: 30}"
sub-via018,CFIN,5192,[5192],[3934.11654071],3934.116540714783,False,True,True,True,1432.159971141893,1432.159971141893,4444,[4444],[3391.33550428],3391.335504284205,False,True,True,True,1240.0860646473798,1240.086064647382,"{2: 1, 3: 716, 24: 1411, 165: 40}","{24: 1361, 41: 8, 42: 439, 165: 10}"
sub-via013,CFIN,5096,[5096],[3758.19333819],3758.1933381869435,False,True,True,True,1441.6942588138563,1441.69425881385,4808,[4808],[3580.2573693],3580.2573693032355,False,True,True,True,1300.2872317920883,1300.2872317920865,"{2: 5, 3: 664, 24: 1428, 165: 18}","{24: 1364, 41: 5, 42: 533, 165: 7}"
sub-via052,CFIN,4930,[4930],[3711.09106979],3711.09106979291,False,True,True,True,1347.0742152783187,1347.0742152783205,4338,[4338],[3275.37722529],3275.377225286495,False,True,True,True,1193.16155774838,1193.161557748378,"{3: 691, 24: 1167, 165: 123, 258: 2}","{24: 961, 42: 688, 165: 102}"
sub-via015,CFIN,4282,[4282],[3177.17420373],3177.174203728586,False,True,True,True,1166.825346466234,1166.8253464662303,5124,[5124],[3777.83014926],3777.8301492575783,False,True,True,True,1380.1787428541288,1380.1787428541265,"{2: 5, 3: 637, 24: 1009, 165: 61}","{24: 1211, 41: 1, 42: 852, 165: 92}"
sub-via014,CFIN,3004,[3004],[2217.69504832],2217.6950483192722,False,True,True,True,784.447967963526,784.4479679635297,3694,[3694],[2744.32967132],2744.329671324687,False,True,True,True,986.8430690165555,986.8430690165551,"{3: 591, 24: 1660, 165: 118}","{24: 1093, 42: 650, 165: 82}"
sub-via451,CFIN,4630,[4630],[3443.09613732],3443.0961373237483,False,True,True,True,1267.9403263706718,1267.9403263706681,4698,[4698],[3521.44292006],3521.442920064445,False,True,True,True,1273.621575208369,1273.6215752083685,"{3: 450, 24: 1375, 165: 58}","{24: 1310, 42: 522, 165: 67}"
sub-via396,CFIN,5964,[5964],[4475.02715827],4475.027158267183,False,True,True,True,1616.465384576155,1616.4653845761486,5694,[5694],[4319.80040827],4319.800408273138,False,True,True,True,1608.4141586262558,1608.4141586262558,"{3: 812, 24: 1242, 165: 241, 258: 71}","{24: 1398, 42: 744, 165: 175, 258: 20}"
sub-via422,CFIN,5180,[5180],[3817.71095058],3817.710950576422,False,True,True,True,1405.261463388345,1405.2614633883422,5060,[5060],[3813.7675017],3813.767501696961,False,True,True,True,1368.1189218703357,1368.1189218703348,"{0: 6, 3: 621, 24: 1209, 165: 256, 258: 8}","{0: 22, 24: 1171, 42: 597, 165: 211, 258: 3}"
sub-via519,CFIN,4664,[4664],[3384.46527725],3384.465277254963,True,False,True,True,-1.0,-1.0,4314,[4314],[3180.64800978],3180.648009779288,False,True,True,True,1141.217677998404,1141.2176779984047,"{3: 469, 24: 1352, 165: 24}","{24: 1256, 42: 394, 165: 24}"
sub-via235,CFIN,4632,[4632],[3413.98822313],3413.988223129786,False,True,True,True,1275.0196724550515,1275.0196724550497,4770,[4770],[3552.0756455],3552.0756455035616,False,True,True,True,1297.5849057321975,1297.5849057321939,"{2: 7, 3: 484, 24: 1343, 165: 29}","{24: 1435, 42: 452, 165: 17}"
sub-via289,CFIN,4378,[4378],[3207.88468117],3207.884681167002,False,True,True,True,1176.604060774087,1176.6040607740879,4242,[4242],[3218.86606668],3218.8660666783726,False,True,True,True,1166.567610955733,1166.5676109557353,"{3: 667, 24: 986, 165: 76}","{24: 883, 42: 644, 165: 147, 258: 33}"
sub-via351,CFIN,5322,[5322],[3965.58575735],3965.585757346794,False,True,True,True,1475.1682047065942,1475.1682047065924,5086,[5086],[3764.99944369],3764.9994436944903,False,True,True,True,1375.5240093942407,1375.5240093942489,"{3: 322, 24: 1804, 165: 57}","{24: 1831, 42: 122, 165: 50}"
sub-via319,CFIN,3748,[3748],[2808.58782644],2808.587826441859,False,True,True,True,995.724393550574,995.7243935505767,4098,[4098],[3085.76285336],3085.7628533611914,False,True,True,True,1102.0273556004236,1102.0273556004227,"{3: 525, 24: 928, 165: 9}","{24: 1053, 42: 531, 165: 27}"
sub-via390,CFIN,4224,[4224],[3199.8069879],3199.8069879048367,False,True,True,True,1173.780952575975,1173.7809525759785,4540,[4540],[3386.60844728],3386.6084472822436,False,True,True,True,1245.4383530208925,1245.4383530208943,"{3: 305, 24: 1374, 165: 40}","{24: 1431, 42: 311, 165: 66, 258: 9}"
sub-via483,CFIN,4654,[4654],[3428.34127151],3428.3412715072486,False,True,True,True,1258.4575166057475,1258.4575166057466,5032,[5032],[3799.13730386],3799.137303862637,False,True,True,True,1405.6116340132626,1405.6116340132612,"{3: 594, 24: 1219, 165: 30}","{24: 1413, 42: 581, 165: 61, 258: 1}"
sub-via114,CFIN,5374,[5374],[3995.80632748],3995.806327482783,False,True,True,True,1446.8769661121605,1446.8769661121614,5722,[5722],[4280.77673806],4280.776738059261,False,True,True,True,1585.7835457340707,1585.7835457340752,"{3: 658, 24: 1307, 165: 129, 258: 13}","{24: 1524, 42: 644, 165: 132}"
sub-via151,CFIN,4446,[4446],[3285.84017745],3285.8401774504255,False,True,True,True,1172.9334882605053,1172.9334882605035,4476,[4476],[3351.04286087],3351.0428608745347,False,True,True,True,1224.734723236843,1224.734723236841,"{3: 412, 24: 1274, 165: 40}","{24: 1389, 42: 377, 165: 37}"
sub-via053,CFIN,4188,[4188],[3155.13695565],3155.1369556495065,False,True,True,True,1166.8364536283598,1166.8364536283589,4694,[4694],[3499.38902295],3499.389022953551,False,True,True,True,1285.2702615614328,1285.2702615614282,"{2: 3, 3: 893, 24: 781, 165: 50}","{24: 1068, 41: 2, 42: 738, 165: 90}"
sub-via208,CFIN,4610,[4610],[3489.26204374],3489.262043737824,False,True,True,True,1257.3808177165574,1257.3808177165597,4866,[4866],[3642.70637666],3642.706376663023,False,True,True,True,1334.9455646118913,1334.9455646118909,"{3: 463, 24: 1341, 165: 46}","{24: 1365, 42: 492, 165: 70, 258: 14}"
sub-via220,CFIN,5212,[5212],[3983.69984566],3983.699845663251,False,True,True,True,1442.5070962531317,1442.5070962531363,5340,[5340],[4079.08264083],4079.0826408275775,False,True,True,True,1470.923972147998,1470.9239721479976,"{3: 731, 24: 1340, 165: 156}","{24: 1452, 42: 579, 165: 126}"
sub-via274,CFIN,5198,[5198],[3782.46553936],3782.465539362943,False,True,True,True,1394.1340471284493,1394.1340471284448,4582,[4582],[3385.02513044],3385.0251304425187,False,True,True,True,1239.8885254217198,1239.8885254217203,"{3: 487, 24: 1549, 165: 106}","{24: 1497, 42: 336, 165: 82}"
sub-via305,CFIN,4554,[4554],[3399.46408432],3399.464084323133,False,True,True,True,1268.7061038617294,1268.7061038617267,4472,[4472],[3420.50059334],3420.500593342388,False,True,True,True,1302.5753602545083,1302.5753602545128,"{2: 24, 3: 733, 24: 1011, 165: 106, 258: 3}","{24: 1208, 42: 621, 165: 68}"
sub-via337,CFIN,3820,[3820],[2809.40541973],2809.4054197277605,False,True,True,True,1030.5235274692195,1030.5235274692195,3612,[3612],[2758.59989102],2758.5998910191506,False,True,True,True,984.1338960630962,984.1338960630965,"{3: 555, 24: 886, 165: 77}","{24: 989, 42: 402, 165: 59}"
sub-via375,CFIN,5566,[5566],[4106.08272209],4106.082722092898,False,True,True,True,1508.9673535400443,1508.9673535400398,5986,[5986],[4342.04301368],4342.043013683997,False,True,True,True,1614.5766094519893,1614.5766094519856,"{3: 647, 24: 1567, 165: 4}","{24: 1693, 42: 628, 165: 15}"
sub-via435,CFIN,3546,[3546],[2743.18714512],2743.1871451219063,False,True,True,True,982.1241808722862,982.1241808722898,3782,[3782],[2880.46245538],2880.46245538412,False,True,True,True,1010.7675441452511,1010.7675441452488,"{3: 414, 24: 1028, 165: 3}","{24: 1007, 42: 443, 165: 39}"
sub-via443,CFIN,4276,[4276],[3186.90325136],3186.903251361136,False,True,True,True,1176.8829353454748,1176.8829353454694,4108,[4108],[3062.7695032],3062.7695031970084,False,True,True,True,1094.9775169202499,1094.9775169202528,"{3: 670, 24: 1011, 165: 46}","{24: 1019, 42: 474, 165: 126}"
sub-via356,CFIN,4580,[4580],[3331.80226297],3331.8022629715424,False,True,True,True,1259.4474958414503,1259.4474958414576,4708,[4708],[3459.24573276],3459.2457327617694,False,True,True,True,1268.1859686346693,1268.1859686346697,"{3: 263, 24: 1550, 165: 35}","{24: 1490, 42: 324, 165: 33}"
sub-via392,CFIN,4926,[4926],[3571.21591505],3571.2159150523403,False,True,True,True,1295.9124169263682,1295.9124169263687,4368,[4368],[3316.79026654],3316.7902665421007,False,True,True,True,1206.4372433208723,1206.4372433208728,"{3: 559, 24: 1221, 165: 127, 258: 1}","{24: 1206, 42: 480, 165: 82}"
sub-via446,CFIN,4352,[4352],[3182.84305311],3182.843053112707,False,True,True,True,1155.0775216200727,1155.0775216200645,4308,[4308],[3191.34883647],3191.3488364739706,False,True,True,True,1177.9459910914989,1177.945991091498,"{2: 1, 3: 634, 24: 1047, 165: 48}","{24: 898, 42: 712, 165: 115}"
sub-via253,CFIN,4588,[4588],[3490.63092615],3490.6309261517476,False,True,True,True,1289.3583502410575,1289.3583502410647,4556,[4556],[3463.38772022],3463.387720215713,False,True,True,True,1260.4283455757186,1260.4283455757218,"{3: 555, 24: 1279, 165: 59, 258: 1}","{24: 1190, 42: 559, 165: 87, 258: 9}"
sub-via486,CFIN,3992,[3992],[3000.42047667],3000.420476670117,False,True,True,True,1098.836401417575,1098.8364014175804,4382,[4382],[3342.37084199],3342.370841991748,False,True,True,True,1217.079099151253,1217.0790991512526,"{3: 375, 24: 1130, 165: 121, 258: 8}","{24: 1148, 42: 493, 165: 130, 258: 11}"
sub-via297,CFIN,3576,[3576],[2675.06488492],2675.064884917996,False,True,True,True,976.2366284367154,976.2366284367117,4050,[4050],[3069.01761341],3069.017613405303,False,True,True,True,1099.823876221339,1099.8238762213368,"{3: 314, 24: 1100, 165: 24}","{24: 1219, 42: 406, 165: 9}"
sub-via326,CFIN,4742,[4742],[3616.60922997],3616.6092299660363,False,True,True,True,1314.9801790817664,1314.980179081761,4608,[4608],[3498.55218861],3498.552188605427,False,True,True,True,1267.324950259299,1267.3249502593026,"{2: 1, 3: 685, 24: 1045, 165: 184, 258: 6}","{24: 1112, 42: 621, 165: 123}"
sub-via173,CFIN,4320,[4320],[3304.44648395],3304.4464839474667,False,True,True,True,1219.9313770627068,1219.9313770627014,4736,[4736],[3721.97826681],3721.9782668088596,False,True,True,True,1351.5879013250324,1351.5879013250324,"{3: 750, 24: 1005, 165: 26}","{24: 1201, 42: 758, 165: 22}"
sub-via206,CFIN,5776,[5776],[4247.28167192],4247.281671915905,False,True,True,True,1545.191224277888,1545.1912242778926,5582,[5582],[4135.22204641],4135.222046411076,False,True,True,True,1510.797792272684,1510.7977922726895,"{3: 941, 24: 1152, 165: 147, 258: 18}","{24: 1207, 42: 874, 165: 135}"
sub-via214,CFIN,4746,[4746],[3540.44742427],3540.447424269346,False,True,True,True,1306.12052480258,1306.1205248025822,4358,[4358],[3250.24214137],3250.242141368848,False,True,True,True,1183.3441159119448,1183.344115911943,"{3: 634, 24: 1179, 165: 87, 258: 13}","{24: 1197, 42: 453, 165: 127}"
sub-via269,CFIN,4516,[4516],[3420.64204895],3420.642048950975,False,True,True,True,1264.6081322217024,1264.6081322217024,4734,[4734],[3535.98008848],3535.9800884835454,False,True,True,True,1283.74552165372,1283.7455216537255,"{3: 438, 24: 1324, 165: 111, 258: 1}","{24: 1295, 42: 531, 165: 59, 258: 1}"
sub-via303,CFIN,4664,[4664],[3477.70576596],3477.7057659550883,False,True,True,True,1250.698945216865,1250.698945216866,4684,[4684],[3575.55068708],3575.550687082648,False,True,True,True,1289.6682787391856,1289.6682787391837,"{3: 420, 24: 1393, 165: 2}","{24: 1571, 42: 290, 165: 15}"
sub-via361,CFIN,5190,[5190],[3813.34435909],3813.3443590891206,False,True,True,True,1370.4934827648822,1370.493482764885,4996,[4996],[3807.52674416],3807.52674415803,False,True,True,True,1410.0753759923457,1410.0753759923464,"{3: 772, 24: 1158, 165: 74}","{24: 1336, 42: 642, 165: 100}"
sub-via489,CFIN,4216,[4216],[3166.81627757],3166.816277572808,False,True,True,True,1169.9108922077612,1169.910892207753,4346,[4346],[3258.89425531],3258.8942553118704,False,True,True,True,1218.9396998330294,1218.9396998330276,"{3: 375, 24: 1186, 165: 141, 258: 10}","{24: 1311, 42: 325, 165: 127, 258: 20}"
sub-via294,CFIN,4516,[4516],[3375.58114481],3375.5811448078143,False,True,True,True,1253.9793676486688,1253.9793676486734,4566,[4566],[3456.19554202],3456.1955420229065,False,True,True,True,1293.9915049686806,1293.9915049686779,"{3: 441, 24: 1346, 165: 46, 258: 1}","{24: 1484, 42: 360, 165: 32}"
sub-via438,CFIN,4166,[4166],[3133.70446881],3133.7044688122296,False,True,True,True,1128.9227888274602,1128.9227888274609,4262,[4262],[3236.96728922],3236.967289221233,False,True,True,True,1208.8224239469305,1208.8224239469237,"{3: 537, 24: 1036, 165: 74}","{24: 974, 42: 744, 165: 54}"
sub-via452,CFIN,4502,[4502],[3389.15830609],3389.158306085134,False,True,True,True,1229.0704789611154,1229.0704789611145,4084,[4084],[3149.23737908],3149.2373790833344,False,True,True,True,1149.982658776569,1149.9826587765665,"{3: 533, 24: 1129, 165: 120, 258: 2}","{24: 1154, 42: 429, 165: 101}"
sub-via358,CFIN,4746,[4746],[3563.10157385],3563.1015738530095,False,True,True,True,1320.1592421765117,1320.1592421765145,4636,[4636],[3460.53107144],3460.53107144369,False,True,True,True,1243.5218488726468,1243.5218488726514,"{3: 572, 24: 1178, 165: 149, 258: 21}","{24: 1271, 42: 386, 165: 155, 258: 11}"
sub-via405,DRCMR,5424,[5424],[4065.0878276],4065.0878275988716,False,True,True,True,1451.7335552773566,1451.7335552773593,3634,[3634],[2710.81698479],2710.816984792166,False,True,True,True,940.5327262312276,940.5327262312263,"{2: 1, 3: 1160, 24: 878, 165: 116, 258: 5}","{24: 1041, 42: 778, 165: 106, 258: 10}"
sub-via407,DRCMR,4848,[4848],[3685.46490967],3685.4649096662774,False,True,True,True,1338.8690649802083,1338.869064980212,4592,[4592],[3451.76303895],3451.7630389487176,False,True,True,True,1235.2901697316067,1235.2901697316047,"{3: 665, 24: 1277, 165: 2}","{24: 1330, 42: 466, 165: 8}"
sub-via078,DRCMR,3800,[3800],[2765.72347092],2765.723470917717,False,True,True,True,1009.222299910266,1009.2222999102678,3816,[3816],[2859.40654744],2859.4065474410486,False,True,True,True,1010.036554078687,1010.0365540786916,"{2: 1, 3: 519, 24: 860, 165: 125, 258: 6}","{24: 971, 42: 559, 165: 106}"
sub-via448,DRCMR,4046,[4046],[2917.15827017],2917.15827016835,True,False,True,True,-1.0,-1.0,3276,[3276],[2493.99985582],2493.9998558167317,False,True,True,True,898.2230744360778,898.2230744360796,"{0: 2, 2: 3, 3: 332, 24: 1163, 165: 58}","{0: 1, 24: 1030, 42: 252, 165: 36}"
sub-via462,DRCMR,5756,[5756],[4276.08040121],4276.080401211313,False,True,True,True,1558.9029449378158,1558.9029449378177,5690,[5690],[4299.83098993],4299.830989925363,False,True,True,True,1539.6267260643817,1539.6267260643817,"{2: 1, 3: 535, 24: 1386, 165: 292, 258: 75}","{24: 1401, 42: 659, 165: 203, 258: 5}"
sub-via449,DRCMR,4300,[4300],[3246.6303503],3246.6303503002955,True,False,True,True,-1.0,-1.0,4842,[4842],[3690.72685217],3690.7268521692226,False,True,True,True,1321.3422578846985,1321.3422578846994,"{2: 9, 3: 781, 24: 925, 165: 44}","{24: 738, 41: 9, 42: 1119, 165: 82}"
sub-via476,DRCMR,4396,[4396],[3297.73852407],3297.7385240685826,False,True,True,True,1191.7571782237942,1191.757178223791,4216,[4216],[3212.0996862],3212.099686199597,False,True,True,True,1193.3249517577624,1193.3249517577628,"{3: 582, 24: 1149, 165: 7}","{24: 1271, 42: 462, 165: 15}"
sub-via471,DRCMR,4348,[4348],[3244.87335609],3244.873356087209,False,True,True,True,1188.7095693730607,1188.7095693730598,4024,[4024],[3015.80573265],3015.8057326517337,False,True,True,True,1108.1908355575683,1108.1908355575745,"{3: 579, 24: 1139, 165: 16}","{24: 1164, 42: 456, 165: 6}"
sub-via282,DRCMR,5284,[5284],[3961.08676704],3961.086767042455,False,True,True,True,1448.16629929383,1448.1662992938327,4586,[4586],[3451.14053868],3451.140538676384,False,True,True,True,1235.7534429907264,1235.7534429907273,"{0: 7, 3: 343, 24: 1520, 165: 247, 258: 3}","{0: 4, 24: 1330, 42: 261, 165: 212}"
sub-via499,DRCMR,4536,[4536],[3413.12360774],3413.123607741751,False,True,True,True,1230.6494419874489,1230.6494419874516,5124,[5124],[3808.90174261],3808.901742613506,False,True,True,True,1419.8806359459613,1419.880635945967,"{3: 753, 24: 1049, 165: 1}","{24: 1204, 42: 880, 165: 1}"
