caseid,centre,bvisaL_cluster_connected_triangles,bvisaL_triangl_per_clust,bvisaL_srf_are_per_clust,bvisaL_total_srf_area,bvisaL_is_self_intersecting,bvisaL_is_watertight,bvisaL_is_edge_manifold,bvisaL_is_vertex_manifold,bvisaL_total_volume,bvisaL_holes_filled_volume,bvisaR_cluster_connected_triangles,bvisaR_triangl_per_clust,bvisaR_srf_are_per_clust,bvisaR_total_srf_area,bvisaR_is_self_intersecting,bvisaR_is_watertight,bvisaR_is_edge_manifold,bvisaR_is_vertex_manifold,bvisaR_total_volume,bvisaR_holes_filled_volume
sub-via383,CFIN,4854,[4854],[3675.21932558],3675.2193255801835,False,True,True,True,1326.0521160653323,1326.0521160653361,5102,[5102],[3862.83553837],3862.8355383677595,False,True,True,True,1401.183855189448,1401.1838551894507
sub-via441,CFIN,3650,[3650],[2730.4651711],2730.4651710964763,False,True,True,True,1005.6195482222956,1005.6195482222993,4188,[4188],[3101.15248897],3101.1524889680195,True,False,True,True,-1.0,-1.0
sub-via473,CFIN,4410,[4410],[3309.92030377],3309.920303767142,False,True,True,True,1177.5995290647452,1177.5995290647431,5388,[5388],[3966.57369127],3966.573691269565,True,False,True,True,-1.0,-1.0
sub-via403,CFIN,4562,[4562],[3424.15487632],3424.154876315073,False,True,True,True,1235.7933173611282,1235.793317361129,4072,[4072],[3092.68113896],3092.6811389648365,True,False,True,True,-1.0,-1.0
sub-via424,CFIN,4000,[4000],[2988.17694504],2988.1769450446313,False,True,True,True,1065.4580935874137,1065.4580935874174,4744,[4744],[3490.15401433],3490.154014329424,False,True,True,True,1287.5796976028041,1287.5796976028064
sub-via163,CFIN,4348,[4348],[3245.05920727],3245.059207270224,False,True,True,True,1180.1550699211139,1180.1550699211066,4138,[4138],[3089.98989254],3089.9898925422617,False,True,True,True,1174.6675806159637,1174.667580615966
sub-via256,CFIN,4690,[4690],[3505.17383785],3505.1738378467244,False,True,True,True,1267.7826857286473,1267.782685728651,4818,[4818],[3591.09788445],3591.0978844542956,False,True,True,True,1330.7480154770865,1330.7480154770883
sub-via299,CFIN,4144,[4144],[3143.23629651],3143.2362965091615,False,True,True,True,1159.6799389970438,1159.6799389970474,4358,[4358],[3296.11008554],3296.1100855366235,False,True,True,True,1230.5373893445717,1230.5373893445694
sub-via330,CFIN,5132,[5132],[3828.90358538],3828.9035853818255,False,True,True,True,1427.5752142782667,1427.5752142782658,4646,[4646],[3507.4619193],3507.4619193036415,False,True,True,True,1273.5669422498377,1273.5669422498372
sub-via363,CFIN,4080,[4080],[3125.71814718],3125.7181471759554,False,True,True,True,1171.2174744365175,1171.217474436522,3948,[3948],[3009.35567922],3009.3556792236936,False,True,True,True,1058.3193230755105,1058.3193230755085
sub-via453,CFIN,4300,[4300],[3156.15739084],3156.1573908434993,False,True,True,True,1141.0301844139021,1141.0301844138994,4200,[4200],[3158.51391991],3158.5139199087384,False,True,True,True,1153.6686008199172,1153.6686008199176
sub-via493,CFIN,4344,[4344],[3207.81088324],3207.8108832448843,False,True,True,True,1149.899018791425,1149.8990187914342,4208,[4208],[3214.68551388],3214.6855138816386,False,True,True,True,1183.3917494293692,1183.3917494293703
sub-via213,CFIN,4188,[4188],[3153.07314819],3153.0731481882726,False,True,True,True,1139.7152964519764,1139.7152964519782,4200,[4200],[3203.66987873],3203.6698787337364,False,True,True,True,1176.2093649553508,1176.209364955351
sub-via154,CFIN,4210,[4210],[3144.6655858],3144.6655858024847,False,True,True,True,1171.182644092688,1171.182644092688,4580,[4580],[3394.76780905],3394.7678090521817,False,True,True,True,1274.3362906174852,1274.3362906174834
sub-via250,CFIN,4500,[4500],[3363.34268746],3363.3426874551596,False,True,True,True,1216.0821673210185,1216.082167321018,3598,[3598],[2677.82286424],2677.8228642449617,False,True,True,True,955.8857109494595,955.8857109494588
sub-via338,CFIN,4872,[4872],[3594.91045516],3594.9104551641262,False,True,True,True,1292.9312180776133,1292.9312180776142,4420,[4420],[3262.23784352],3262.237843524502,False,True,True,True,1188.4489163682679,1188.4489163682688
