caseid,centre,lCS_junctions,rCS_junctions
sub-via365,DRCMR,"{2: 2, 3: 7, 7: 3, 8: 2}","{3: 2, 6: 5}"
sub-via495,DRCMR,"{1: 5, 2: 2, 3: 4, 4: 2, 6: 3, 10: 3}","{1: 5, 3: 2, 4: 2, 5: 3, 7: 4}"
sub-via038,DRCMR,"{1: 2, 2: 5, 3: 6, 4: 2, 5: 5, 8: 4, 9: 2}","{1: 2, 5: 2, 6: 3}"
sub-via082,DRCMR,"{1: 2, 3: 7, 6: 3}",{2: 3}
sub-via108,DRCMR,{1: 2},"{1: 2, 2: 3, 5: 5}"
sub-via142,DRCMR,"{1: 2, 2: 2, 7: 4}","{2: 2, 5: 8}"
sub-via169,DRCMR,"{1: 2, 3: 8, 5: 2}","{3: 2, 4: 2, 7: 4}"
sub-via179,DRCMR,"{1: 2, 3: 2, 4: 8, 7: 2}","{3: 3, 4: 2}"
sub-via261,DRCMR,{1: 3},"{1: 2, 2: 2}"
sub-via334,DRCMR,{3: 3},{5: 5}
sub-via312,DRCMR,"{1: 2, 2: 4, 3: 3, 4: 5, 5: 2, 8: 3}","{1: 2, 3: 5, 4: 2, 5: 2, 7: 2, 9: 10}"
sub-via218,DRCMR,"{6: 2, 9: 2, 10: 3}",{1: 5}
sub-via374,DRCMR,"{2: 2, 4: 4, 5: 2}","{1: 6, 4: 3}"
sub-via426,DRCMR,"{3: 2, 4: 3, 5: 3, 6: 3}",{}
sub-via492,DRCMR,"{2: 2, 4: 2}",{}
sub-via122,DRCMR,"{1: 3, 2: 2, 3: 3, 4: 5, 6: 5}","{4: 7, 6: 5}"
sub-via121,DRCMR,"{1: 4, 2: 4}","{3: 2, 5: 3, 7: 2, 8: 2, 9: 3}"
sub-via141,DRCMR,"{1: 3, 2: 3, 5: 3, 8: 2}","{1: 2, 2: 2, 4: 6}"
sub-via347,DRCMR,"{1: 2, 3: 2, 10: 2}","{1: 5, 4: 2}"
sub-via165,DRCMR,"{2: 2, 6: 8, 9: 3}","{4: 2, 5: 3, 8: 2, 10: 2, 11: 2}"
sub-via246,DRCMR,"{1: 2, 2: 2, 5: 8}","{1: 2, 2: 2}"
sub-via197,DRCMR,"{1: 4, 4: 2, 5: 2}","{1: 2, 2: 3, 6: 2, 7: 4, 8: 2, 10: 2}"
sub-via212,DRCMR,"{1: 2, 4: 3}","{1: 2, 2: 2}"
sub-via354,DRCMR,"{1: 5, 4: 2, 6: 4}","{4: 2, 6: 3}"
sub-via033,DRCMR,"{2: 5, 3: 2, 6: 3, 7: 2, 8: 2}","{4: 2, 5: 2}"
sub-via521,DRCMR,"{1: 4, 3: 4, 5: 3, 6: 3}","{1: 2, 2: 3, 3: 2, 5: 4, 6: 2, 7: 3, 12: 4}"
sub-via240,DRCMR,"{1: 2, 2: 3, 4: 4, 5: 3, 6: 2, 7: 2, 8: 2}","{1: 2, 4: 4}"
sub-via190,DRCMR,"{2: 5, 4: 3, 6: 4, 7: 2}","{2: 2, 3: 7, 4: 2}"
sub-via030,DRCMR,"{1: 3, 2: 2, 5: 4, 10: 6}","{1: 2, 4: 2, 5: 10}"
sub-via026,DRCMR,"{2: 2, 3: 2}","{2: 3, 3: 4}"
